variant,sequence,frames,detections,detection_rate,pa_mpjpe_mm,mpjpe_mm,pve_mm,accel_official_30fps
paper_wham_bedlam_flip,downtown_runForBus_01_0,737,,,50.16746520996094,86.75468444824219,102.95157623291016,10.57925033569336
paper_wham_bedlam_no_flip,downtown_runForBus_01_0,737,,,50.61897277832031,90.69419860839844,106.48091888427734,11.207662582397461
fastvit_official_inputs,downtown_runForBus_01_0,737,,,59.720794677734375,98.7278060913086,123.07878112792969,11.949098587036133
paper_wham_bedlam_flip,downtown_runForBus_01_1,681,,,33.7481575012207,56.98470687866211,67.97737884521484,12.138282775878906
paper_wham_bedlam_no_flip,downtown_runForBus_01_1,681,,,35.580257415771484,61.244728088378906,73.17803192138672,12.876116752624512
fastvit_official_inputs,downtown_runForBus_01_1,681,,,48.820526123046875,73.20932006835938,90.3416976928711,13.780706405639648
paper_wham_bedlam_flip,downtown_walkBridge_01_0,1178,,,29.439802169799805,46.37080383300781,55.05584716796875,7.167690277099609
paper_wham_bedlam_no_flip,downtown_walkBridge_01_0,1178,,,30.594797134399414,47.48637390136719,56.72800827026367,7.519063949584961
fastvit_official_inputs,downtown_walkBridge_01_0,1178,,,41.50286865234375,61.435508728027344,72.06781768798828,8.856616020202637
iphone_subset_yolov8,downtown_walkBridge_01_0,1178,1177,0.998303647158609,94.48313903808594,263.62957763671875,294.7931823730469,23.709884643554688
paper_wham_bedlam_flip,flat_guitar_01_0,747,,,43.285308837890625,64.01670837402344,78.172119140625,3.840955972671509
paper_wham_bedlam_no_flip,flat_guitar_01_0,747,,,42.15413284301758,59.22599792480469,73.66767883300781,3.924022674560547
fastvit_official_inputs,flat_guitar_01_0,747,,,55.207340240478516,70.5555191040039,85.85135650634766,4.97075891494751
iphone_subset_yolov8,flat_guitar_01_0,747,748,1.0,93.32020568847656,192.8038787841797,213.1761016845703,10.724210739135742
paper_wham_bedlam_flip,downtown_walkUphill_00_0,384,,,24.435531616210938,42.469608306884766,50.01649856567383,6.3717427253723145
paper_wham_bedlam_no_flip,downtown_walkUphill_00_0,384,,,25.520166397094727,44.89630126953125,51.4864387512207,6.770981788635254
fastvit_official_inputs,downtown_walkUphill_00_0,384,,,43.44517135620117,67.5093002319336,76.984375,9.727460861206055
iphone_subset_yolov8,downtown_walkUphill_00_0,384,385,1.0,73.8815689086914,134.09088134765625,146.982666015625,23.05843734741211
paper_wham_bedlam_flip,downtown_upstairs_00_0,824,,,23.645614624023438,38.57158660888672,46.6405029296875,7.0332136154174805
paper_wham_bedlam_no_flip,downtown_upstairs_00_0,824,,,25.36979866027832,40.90690994262695,49.66187286376953,7.511375904083252
fastvit_official_inputs,downtown_upstairs_00_0,824,,,30.61164665222168,54.841697692871094,62.87547302246094,8.486351013183594
iphone_subset_yolov8,downtown_upstairs_00_0,824,825,1.0,68.8399658203125,128.47042846679688,149.59461975097656,16.632795333862305
paper_wham_bedlam_flip,office_phoneCall_00_0,723,,,29.095001220703125,48.650360107421875,58.213531494140625,4.85746955871582
paper_wham_bedlam_no_flip,office_phoneCall_00_0,723,,,31.202281951904297,50.80885314941406,61.515018463134766,5.207626819610596
fastvit_official_inputs,office_phoneCall_00_0,723,,,38.187110900878906,61.609535217285156,75.44551849365234,6.258910655975342
paper_wham_bedlam_flip,office_phoneCall_00_1,763,,,28.46530532836914,49.85020065307617,55.82119369506836,4.702888011932373
paper_wham_bedlam_no_flip,office_phoneCall_00_1,763,,,30.60009765625,53.39665603637695,60.512123107910156,5.339116096496582
fastvit_official_inputs,office_phoneCall_00_1,763,,,41.026397705078125,67.80784606933594,81.87388610839844,6.324864864349365
paper_wham_bedlam_flip,downtown_rampAndStairs_00_0,979,,,31.065719604492188,59.97483825683594,64.1772232055664,6.70659065246582
paper_wham_bedlam_no_flip,downtown_rampAndStairs_00_0,979,,,32.84872817993164,62.279998779296875,67.0267333984375,7.169549942016602
fastvit_official_inputs,downtown_rampAndStairs_00_0,979,,,41.89777374267578,72.3162841796875,79.56842803955078,7.309408664703369
paper_wham_bedlam_flip,downtown_rampAndStairs_00_1,973,,,26.894290924072266,41.06977462768555,45.43517303466797,6.730072021484375
paper_wham_bedlam_no_flip,downtown_rampAndStairs_00_1,973,,,29.33085823059082,43.79066848754883,48.54072189331055,7.216805934906006
fastvit_official_inputs,downtown_rampAndStairs_00_1,973,,,40.904659271240234,56.871517181396484,64.00907897949219,7.477631568908691
paper_wham_bedlam_flip,downtown_runForBus_00_0,643,,,34.306278228759766,61.281837463378906,68.93641662597656,11.163148880004883
paper_wham_bedlam_no_flip,downtown_runForBus_00_0,643,,,34.821327209472656,63.36880874633789,71.40496826171875,11.716792106628418
fastvit_official_inputs,downtown_runForBus_00_0,643,,,45.514095306396484,74.44467163085938,86.06511688232422,11.843466758728027
paper_wham_bedlam_flip,downtown_runForBus_00_1,654,,,36.08099365234375,48.2099609375,58.6879768371582,11.429076194763184
paper_wham_bedlam_no_flip,downtown_runForBus_00_1,654,,,36.758243560791016,49.366851806640625,59.26122283935547,11.923518180847168
fastvit_official_inputs,downtown_runForBus_00_1,654,,,52.32652282714844,65.12358093261719,80.3793716430664,13.167950630187988
paper_wham_bedlam_flip,downtown_downstairs_00_0,627,,,26.838844299316406,98.90742492675781,104.61058044433594,7.261188983917236
paper_wham_bedlam_no_flip,downtown_downstairs_00_0,627,,,28.482648849487305,99.15972900390625,105.24517822265625,7.704660415649414
fastvit_official_inputs,downtown_downstairs_00_0,627,,,36.11875915527344,102.52584075927734,106.7408676147461,8.255756378173828
iphone_subset_yolov8,downtown_downstairs_00_0,627,628,1.0,64.06707000732422,137.549072265625,156.16647338867188,14.109923362731934
paper_wham_bedlam_flip,downtown_bar_00_0,1239,,,53.1947021484375,79.03073120117188,92.27316284179688,5.841588497161865
